FollowId,MemberId,EmazeMeGroupId
60,57388fef-9814-4163-8a8a-b676bfb85801,2
64,311ff7ca-d05c-4ac3-820a-9c0fc4228d59,2
65,c5913a2c-521d-43aa-b031-bb869cea175d,2
66,3199cab4-ee6d-4a7e-b629-7c4adf5f5fb4,2
67,a0086ebc-c7da-414b-b56f-1db40c1bcdd0,2
68,ef066f50-8864-4181-a98c-79f87f3c1f0e,2
69,93c72501-83db-4f07-9231-89d559f05e14,2
70,d5fb06f5-8952-43b4-8572-ffd478fb69e3,2
71,d292bfb0-f606-4f6b-97e6-0d91682ea150,2
72,f63ce4dc-b58a-4580-9b8a-89fa785581d1,2
73,2415e720-8d4c-44c7-9cbf-cb1e76dcf4e8,2
74,27ad4e70-e1d4-452a-829d-ac743d1ce9a0,2
75,715b90a2-1911-49fa-b20c-5ff4ab9e6318,2
76,d90121f1-0ff9-4890-a8fc-17da24480657,2
77,91773820-1f1c-4a87-92d7-ffc8a31ab97f,2
78,b5105d64-12cb-4e65-b369-6454c1652a0b,2
79,ab413b6f-7cd5-4c2f-8c15-49b84b5dbeb8,2
80,e0df85a7-f171-4451-9432-bf18ffc9d6de,2
81,64f3a010-b89f-4160-85ac-2ee1baff6272,2
82,51458944-069c-4d3b-88fd-cd2be33ece6f,2
83,79edece9-9480-4169-9486-c24ee860ac9f,2
84,f3b54f4d-eed5-4553-afb2-8ea9a4b09924,2
85,939a30e5-db50-4760-8411-830222307d88,2
86,1c1994c7-9bb0-477d-83dd-dc0d6f822c10,2
87,eca7252d-3758-4e3a-b8a6-242965ef9fd1,2
88,a2eba27b-34b5-42d0-b1e0-ca9aff2332db,2
89,41351c96-8e56-49d7-a41a-735a71a2b4c8,2
90,d5894da7-8697-4747-b360-d7c2e869d689,2
91,0756aeff-9de6-4fe2-8f72-d93d8b7aca40,2
92,8b9b8ebd-7c34-4efd-b5ba-0c3d61d14765,2
93,f56eadae-f484-48cf-9d18-39928999cc84,2
94,e0f032c4-0363-4c20-85ba-9753a81a960f,2
95,5fd87777-451b-4701-a881-836710124989,2
96,ff4a690a-45cd-468e-8b8d-0d132de3ef6c,2
97,419f205c-7238-42c1-be62-1f1e5b51a931,2
98,c76db460-b291-4d47-add8-1d070cf0a22c,2
99,a43a43ed-1bed-4eee-a7c5-f54b4a2f0041,2
100,6dea6577-e691-4178-a971-8db04eb5240f,2
101,3807c585-c544-4ff0-81e7-a06fdb9088a4,2
102,7adfd759-1a29-4909-9f2d-feb5f89c7388,2
136,c5c47134-fa9b-499c-a2f1-c5b0c895a39c,1
137,240238a0-ce99-4ea7-ac77-eff09fb5eff2,14
139,886b35c1-7e9d-46da-b9ff-d4099d142194,2
143,a328005f-1ca5-4c79-961f-4eab118a32ab,2
144,650fc269-7d44-4bd1-ae02-481e0b6a2306,14
145,1ca687e0-3fff-474f-afb7-6af354da9075,1
