Id,PageType,PageId,UserId,SessionId,TimeSpent,FirstPing,LastPing,ActiveTimeOnPage,IPAdress,ScrollDistance,CountryCode
1260,feed,n/a,d4cac083-ed46-48a8-8b24-d46b28eb9012,8392193f-8c48-4af7-8ea9-77088cf6f06a,0,2020-06-15 17:05:22.7593271,2020-06-15 17:05:22.7593271,0,187.205.39.88,0,MX
1261,feed,n/a,tbd,5a739eaa-846e-4119-99f8-d23653a994df,259,2020-06-15 17:07:02.1546026,2020-06-15 17:11:21.8921106,158.863,37.142.8.16,0,IL
1262,feed,n/a,tbd,bb466c1e-641c-4c20-8968-f6594796f3ef,30,2020-06-15 17:09:30.6002791,2020-06-15 17:10:00.8971832,26.293,190.11.73.22,0,BO
1263,feed,n/a,bc62c7a2-f0b3-f0d0-1dae-511166b00f84,77631835-7066-4068-83ef-79cc07d1dbe3,2911,2020-06-15 17:10:22.1972334,2020-06-15 17:58:53.5196299,35.423,190.11.73.22,0,BO
1264,feed,n/a,tbd,7dce60af-680b-4f5b-99d9-133c561c7a2c,0,2020-06-15 17:11:45.3854814,2020-06-15 17:11:45.3854814,0,45.70.13.2,0,US
1265,feed,n/a,tbd,e8c74999-03c2-4deb-a74c-e408796e7a3b,30,2020-06-15 17:14:02.0146274,2020-06-15 17:14:32.5478746,27.429,45.70.13.2,0,US
1266,feed,n/a,tbd,f042b92f-bdb0-45ef-8473-3888e5ee8986,0,2020-06-15 17:14:57.3336669,2020-06-15 17:14:57.3336669,0,34.201.170.25,0,US
1267,feed,n/a,tbd,0e94ee75-0a20-4099-9758-d15c33d39a62,0,2020-06-15 17:16:17.0145478,2020-06-15 17:16:17.0145478,0,198.98.49.160,0,US
1268,feed,n/a,tbd,0f41e3b0-ba59-494f-9b15-5cd9feab800d,0,2020-06-15 17:18:16.9667821,2020-06-15 17:18:16.9667821,0,190.106.197.143,0,GT
1269,feed,n/a,acba33af-b070-4769-a5e5-6ca3b3b7b7db,eab1c7d1-a7c7-462b-8759-18d78a747506,30,2020-06-15 17:18:47.3295544,2020-06-15 17:19:18.0287498,14.779,45.231.34.64,0,US
1270,feed,n/a,tbd,8369b940-f6ef-4931-923a-311973d18df8,0,2020-06-15 17:20:56.8467602,2020-06-15 17:20:56.8467602,0,189.152.72.253,0,MX
1271,feed,n/a,tbd,7536ca1a-c0d8-4e01-a0e7-80600e0c67e5,4740,2020-06-15 17:22:12.5218837,2020-06-15 18:41:12.7877236,11.374,86.250.161.59,0,FR
1272,feed,n/a,14a0adb3-dc51-4d8c-8650-2b62e042ba0b,ef3825ee-7c41-4429-a624-e95176cc5cc1,122,2020-06-15 17:32:14.7528192,2020-06-15 17:34:17.3093217,54.969,45.71.203.104,0,US
1273,feed,n/a,3a5dddaf-5f3f-4a47-b989-47a2fa60bfcd,7d0c2a80-a4ce-447c-b031-cb127d509741,931,2020-06-15 17:34:45.5257804,2020-06-15 17:50:17.2373344,8.705,176.50.31.22,0,RU
1274,feed,n/a,tbd,4dab998b-edc2-4013-bceb-f1fba5028a38,1441,2020-06-15 17:40:31.3103947,2020-06-15 18:04:32.5023899,64.20099999999999,132.191.2.104,0,--
1275,feed,n/a,36160963-5305-4116-b705-1a35e8dc22f3,facb3f87-183b-4b35-9cbd-7c473caca4f5,0,2020-06-15 17:40:40.5836432,2020-06-15 17:40:40.5836432,0,179.49.55.241,0,EC
1276,feed,n/a,tbd,77eefc28-5082-4fd1-9a5a-1e6b5347858f,30,2020-06-15 17:45:30.5637778,2020-06-15 17:46:00.7582539,7.539,81.33.32.229,0,ES
1277,feed,n/a,tbd,eff559f6-af52-49c7-ad6f-18d60e4e948d,0,2020-06-15 17:46:27.9277487,2020-06-15 17:46:27.9277487,0,81.33.32.229,0,ES
1278,explore,n/a,tbd,c4dcbb74-d9d0-42af-98e8-2522ce9dced5,0,2020-06-15 17:46:30.8607951,2020-06-15 17:46:30.8607951,0,81.33.32.229,0,ES
